ticker
AAL
ADSK
ALB
ALGN
AMAT
AMD
AMG
AMP
ANET
APA
APP
AVGO
BA
BAC
BEN
BLDR
C
CCL
CFG
CIEN
COHR
COIN
CRWD
CVNA
CZR
DELL
DVN
DXC
ENPH
EPAM
ETSY
FANG
FCX
FIX
FLEX
FTNT
GEV
GLW
GNRC
HAL
HOOD
IBKR
INTC
IVZ
JBL
KEY
KLAC
KMI
LITE
LNC
LRCX
MCHP
MGM
MPC
MPWR
MRVL
MS
MU
MUR
NCLH
NRG
NUE
NVDA
NXPI
ON
ORCL
OXY
PENN
PLTR
PVH
QCOM
QRVO
RCL
RF
RIG
SCHW
SEDG
SMCI
SNDK
SNPS
STX
SWKS
TER
TSLA
UAL
URI
VRT
VST
WDC
WMB
WYNN
XYZ
ZION
